3054: adivinanzas | ¿que es un pollito de verde? un pollicia 
853: chistes_cortos | estaba una fiesta tan aburrida, pero tan aburrida, que a los invitados les dio flojera irse.</div><div class=opciones> <span class=chisteid>#80108</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=80108' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
2711: adivinanzas | ¿cual es el juego de los egoistas?el yo-yo 
1897: doctores | un medico quitado de la pena estaba revisando unos libros de medicina y en eso entra a su consultorio un atlante, alto, delgado.el medico le dice: ¿en que le puedo servir buen hombre? el atlante se quita el sombrero y le sale una rana de la cabeza.  el medico dice sorprendido: pero amigo, ¿como es esto posible? la rana contesta:  pues, no se doctor, pero empezo con un barrito en la nalga 
391: campesinos | resulta que el patron de una quinta estaba harto de saber que le robaban maiz en su chaco, hasta que un dia, divisa de lejos a su criado, con un costal repleto y le pregunta:¿que llevas en ese saco? el criado responde: pescao, patroncito. ¿y para que? el criado responde: ¡para hacer tamales 
298: borrachos | un borrachito va conduciendo por una carretera a toda velocidad. en eso prende la radio y escucha: un maniatico se ha ido contra el transito y nadie ha podido atraparlo. entonces, el borrachito dice:  ¿que uno? ¡son miles!  
3118: adivinanzas | ¿que es una pecho?doch monedach de chincuencha chenchavos 
2691: adivinanzas | ¿cual es el carro que estornuda?el mitsubishi. ¿cual es el carro que vive debajo del mar? el honda. ¿cual es el carro que tiene hipo? el jeep. ¿cual es carro que llamas y viene? el mercedes benz. ¿cual  es carro que asusta? el malibu.     
44: borrachos | estaba un borrachito pidiendo un aventon, entonces un camionero se detiene y lo monta en el camion. el borrachito empieza a preguntar una por una las funciones de todos los botones que tenia el tablero, pero habia un boton que no servia para nada, entonces como el chofer estaba hastiado por la preguntas del borrachito, le dice que ese boton era para que cuando el viera a una viejita hunda ese boton y la atropella. entonces, el borrachito queda asombrado pero no dice nada. al cabo de una hora pasan por un poblado a orillas de la carretera y viene una viejita atravesando la carretera, entonces el borrachito al ver a la viejita hunde desesperadamente el boton y el chofer la esquiva y se escucha un gran golpe, entonces el borrachito le dice al chofer: mira, manda a arreglar ese boton porque si no abro la puerta fallamos la vieja.	  
3454: hombres | se trata de 4 hombres que iban a subir un piano al piso 10.ellos estaban muy cansados y uno de ellos dijo:  que vaya alguien a ver cuantos pisos nos faltan. el otro le dice: okay, voy yo. el tipo sube y llega hasta el piso 10. bueno, si subi 6 pisos es porque estamos en el piso 4. el tipo baja y le dice a sus compañeros:  les tengo dos malas noticias. entonces, uno de los hombres le dice: dinos una y la otra la dices cuando lleguemos. okay, nos faltan 6 pisos para llegar. los hombres ya bien cansados llegaron al piso 10 y uno le pregunta al otro:  ¿y cual era la otra mala noticia?  el tipo le contesta:  este no era el edificio 
5602: otros | tenia una boca tan pequeñita, tan pequeñita, que para decir tres, tenia que decir uno, uno, uno.</div><div class=opciones> <span class=chisteid>#7434</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=7434' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
7280: atlantes | ¿como se sabe si se llega a casa de un atlante?porque tiene mirilla en una puerta de cristal 
95: borrachos | era un señor que se encontro con un amigo de la secundaria que estaba borracho, el se­ñor le dice a su amigo:oye, has cambiado mucho, antes no tomabas, ¿que te ha pasado? entonces le contesta: pero no tomo tanto, ademas solo tomo los dias que comienzan con m. pero si hoy no comienza con m. caray, ¿que hoy no es momingo 
7870: una_linea | ¡llama a la escuela!y la escuela se quemo 
5374: otros | llega un patito a una cantina y le pregunta al cantinero:¿tiene uvas? a lo que el cantinero responde: no. entonces, el patito se va, regresa, y vuelve a hacer la misma pregunta: ¿tiene uvas? y el cantinero responde enojado: ¡no! y le dice: mira, si vuelves a hacerme la misma pregunta, te voy a clavar los pies al piso. entonces el patito sale asustado, regresa y pregunta: ¿tiene clavos? y el cantinero responde: no. y el patito dice: entonces, ¿tiene uvas 
3584: jaimito | extrañada de que su hijo regresara tan temprano de la escuela, la mama de jaimito le interroga: ¿por que llegaste tan temprano de la escuela, hijo? es que fui el unico que pude contestar una pregunta.  ¡muy bien, jaimito! ¡eres un niño tan estudioso! ¿y cual fue la pregunta?  ¿quien le tiro el borrador al director?  
4274: marinos | el chiste transcurre en un barco.¡capitan, capitan, se acercan quince calaveras! ¿una flota? ¡no!, flotan las quince.  
2772: adivinanzas | ¿en que se parece un elefante a la cama?en que el elefante es un paquidermo, y la cama paquiduerma 
8156: bares | un camarero le dice a un cliente:usted me dira... pues yo creo que 1,80 
6160: animales | ¿que pasa cuando un elefante se para en una pata?deja huerfanos a los paticos.  
203: borrachos | es un borracho que va al medico y le dice al doctor:doctor, tengo que dejar de beber como sea, sino mi mujer me echa de la casa. el doctor le responde: lo que usted tiene que hacer es que cada vez que usted vea un bar, coge aire, da dos pasos para atras, sale corriendo, y salta el bar de un lado a otro, y asi no entrara en el bar. vale, gracias doctor, eso hare, le responde el paciente. al ir para su casa el paciente se topa con un bar, y sigue las instrucciones del doctor, coge aire, dos pasos para atras, sale corriendo, y da un gran salto, y cuando cae al suelo dice: ¡y ahora una copita pa' celebrarlo!  
3535: hombres | un hombre va a una optica y le dice al vendedor:¿tiene usted gafas de valla? ¿para que quiere gafas de valla? nada, es que tengo los ojos saltones 
7908: una_linea | ¿que es un cazo?un zucezo 
5978: animales | ¿cual es el animal que da mas vueltas despues de muerto?el pollo asado 
3665: jaimito | esta jaimito jugando con sus amigos cuando su madre lo llama y lo manda a comprar pegamento. como jaimito esta en otra, se niega a ir por lo que la madre enfadada le dice que le va a pegar, y jaimito responde:¡como me vas a pegar si no tienes pegamento 
986: colmos | ¿cual es el colmo de un calvo?caerse por un barranco y salvarse por un pelito 
5296: niños | en el examen de los huesos del cuerpo humano, la maestra furiosa pregunta a un alumno que no aprobo el examen:raulito, ¿asi que tenemos 2 tibias en el mismo pie? no maestra, lo que pasa es que como no se cual es la tibia y cual el perone, asi solo tendre una mal, y no dos.  
681: chistes_cortos | tengo diez manzanas en una mano y diez en la otra mano, ¿que tengo?dos manotas 
6851: atlantes | era un atlante, pero tan atlante, que pensaba que gastar dinero era raspar unas monedas. era un atlante, pero tan atlante,  que decia que los carros 4x4 tenian 16 llantas.  un atlante llama a su amigo ¡oye venancio, te hablo por la aspiradora! y su amigo contesta: ¡pues que bien suena!  un medico a un padre de un recien nacido: señor, tuvimos que ponerle aire a su hijo. ¡demonios!, y yo que le queria poner pedro...  era un atlante tan atlante, pero tan atlante, que estudio para un examen de orina.  la torre de control a un piloto atlante: aqui torre de control, aqui torre de control, verifique su altura y posicion. y el atlante contesta: hombre, pues como 1.80 y hasta adelante del avion 
1962: actos | primer acto: el diablo va al baño.segundo acto: el diablo va al baño. tercer acto: el diablo va al baño. ¿como se llama la obra? el diablo anda suelto 
3345: adivinanzas | ¿cual es el chiste mas rojo?caperucita roja. ¿cual es el chiste mas rojo y sucio? caperucita que se cayo en el fango.  
1252: colmos | ¿cual es el colmo de un veterinaro? operar a un mosquito del apendice con un guante de box 
6992: atlantes | dos atlantes se encuentran en la calle y uno le pregunta al otro:oye manolo, ¿hace frio en la calle? no se, yo vine por la vereda 
5444: otros | un dia un vendedor de diario cobro, y enseguida se fue al supermercado mas barato del pueblo. entonces, cuando llega le dice al cajero:¿tiene yerba? y el cajero le contesta: no. ¿tiene azucar? no. ¿tiene huevos? no. disculpe, ¿no tiene nada? no. entonces, ¿por que no cierra? porque no tengo puerta 
7016: atlantes | ¿por que los atlantes tienen ventanas redondas en sus casas?para que entre el sol 
5813: otros | ¿sabe usted cuales son las caracteristicas de un niño complejo?pues, madre real y padre imaginario 
5585: otros | un hombre que le dice a un taxista:¿cuanto me costaria hacer un recorrido por toda barcelona? y el taxista le dice: depende del tiempo. el hombre le contesta: supongamos que llueve 
7157: atlantes | ¿que hace un atlante muerto en un armario?estaba jugando a las escondidas y nunca lo encontraron 
3804: locos | si yo pongo un florero arriba de la mesa y mi esposa lo saca, ¿quien de los dos esta loco?los dos estamos locos, pues yo locoloco y mi esposa loquita 
5168: niños | era un niño tan feo, pero tan feo, que en lugar de tener angel de la guarda,tenia chupacabras.  
1720: doctores | un hombre entra a un consultorio.doctor, durante años he tenido horribles malestares y nadie ha podido ayudarme. el doctor le dice: ¿a quien ha acudido antes? al doctor gavel. con razon, ese tipo es un idiota, ¿que le aconsejo? que lo consultara a usted 
7424: restaurantes | un hombre entra a un restaurante y le pide al camarero el menu del dia. el camarero le entrega la hoja donde se puede ver que es un menu bastante caro, y le pregunta al camarero:oiga, ¿y aqui no hacen descuento a los colegas? ¿pero, usted tambien es camarero? no, soy ladron.  
7298: atlantes | ¿saben como mandan fax los atlantes?lo mandan por carta 
3426: adivinanzas | ¿cual es el mar de la sangre?el mar roj 
6694: profesores | la profesora dice:pablito venia para la escuela, piso una cascara de banano y se cayo y se quebro una pierna. ¿que hay que aprender de esto juanito? ¡que no hay que venir a la escuela 
6655: profesiones | un tipo volaba en globo, de pronto se percato que estaba perdido, maniobro y descendio un poco. diviso a un hombre abajo en la calle, bajo mas y le grito: ¡disculpe! ¿podria usted ayudarme? prometi a un amigo que me encontraria con el a las 2:00, tengo media hora de atraso y no se donde estoy.   claro que puedo ayudarle, usted se encuentra en un globo de aire caliente, flotando a unos 30 metros encima de esta calle; esta entre los 40 y los 42 grados de latitud norte y entre los 58 y los 60 grados de longitud oeste.    ¿es usted ingeniero? si señor, lo soy, ¿como lo supo? porque todo lo que usted me ha dicho es tecnicamente correcto, pero aun no se que hacer con la informacion que dio, y el hecho es que continuo perdido.  ¡ah! ¿y usted debe ser un gerente? en efecto, lo soy, pero, ¿como lo averiguo?  ¡muy facil! no sabe ni donde esta, ni para donde va, hizo una promesa que no tiene idea como cumplir y espera que ahora otro le resuelva el problema, de hecho, esta exactamente en la misma situacion en que se hallaba antes de encontrarnos. pero ahora, por algun motivo, resulta que eso es, ¡culpa mia 
6230: animales | habia una vez dos piojos y uno le pregunta al otro:oye, me pica mucho la cabeza, ¿que sera? el otro piojo le responde: ¿y no sera que tienes piojos?   
5872: animales | ¿que le dice un chinche a una chinche?te amo chincheramente.  
1861: doctores | llega un papa desesperado donde el doctor y le dice:doctor, doctor, mi hijo se cree ascensor. el doctor le dice: hagalo pasar. no, es que no para en este piso 
3722: ladrones | llega una joven a una farmacia y pregunta:señor, ¿tiene calmantes? si joven, por supuesto.  bueno tomese una docena, porque esto es un asalto.  
719: chistes_cortos | una niña corre y grita:mama, mama, en la escuela me dicen britney spears. ay niña, tu no vives aqui. oops, i did it again 
6037: animales | ¿que le dice un pez mago al otro pez mago?nada por aqui, nada por alla 
261: borrachos | dos borrachos reunidos en un bar ubicado en un penthouse, estan mirando por el balcon hacia abajo.le dice el uno al otro:¡compadre esto esta muy alto! ¡si, compadre, demasiado alto!  hagamos una apuesta. ¿cual compadre? a que no te tiras por el balcon, caes abajo, tomas el ascensor y llegas aqui sano y salvo. ¡hay compadre, eso es muy dificil, hay 50 pisos desde aqui. cuando lleguemos abajo, quedamos espichados contra el pavimento. a que no, cumpa. si quieres lo hago yo primero?_ok., cumpa.  mandese. el hombre se tiro. callo abajo, se levanto, tomo el ascensor, llego al penthouse y dijo:-¿vio, compadre?, fue muy facil, ahora le toca a ud. el otro borracho se tiro y callo en pedazos contra el piso. mientras tanto arriba se le acerca un mesonero al otro borracho y le dice:¡que broma contigo superman, cuando te emborrachas....ja ja ja ja jaja   
